epoch,train_loss,val_loss,train_acc,val_acc,memory
1,0.11181140591700872,0.1091705933213234,tensor(0.1802),tensor(0.1775),63451
2,0.10703564236561457,0.11088667623698711,tensor(0.1900),tensor(0.1212),57116
3,0.10618103990952174,0.10561934486031532,tensor(0.2443),tensor(0.1732),56581
4,0.1048201193412145,0.10623830743134022,tensor(0.2389),tensor(0.1991),56581
5,0.10439155101776124,0.1040857583284378,tensor(0.2997),tensor(0.2165),56831
6,0.10395048608382543,0.10456090606749058,tensor(0.2454),tensor(0.2078),56644
7,0.10301087101300557,0.10554550401866436,tensor(0.2638),tensor(0.1948),57352
8,0.10306096275647482,0.10331412963569164,tensor(0.3073),tensor(0.2338),56939
9,0.10091163118680319,0.10659829527139664,tensor(0.2367),tensor(0.2251),57431
10,0.1012761856118838,0.10307127796113491,tensor(0.3203),tensor(0.2554),56640
11,0.10179502367973328,0.10407664626836777,tensor(0.2877),tensor(0.2251),56644
12,0.09922455151875814,0.10461749136447906,tensor(0.3290),tensor(0.2468),56467
13,0.09965275675058365,0.1053467858582735,tensor(0.2899),tensor(0.2294),56762
14,0.0998380035161972,0.10202590003609657,tensor(0.3246),tensor(0.2944),56762
15,0.09807456483443579,0.10135781951248646,tensor(0.3301),tensor(0.2511),56404
16,0.09752100904782614,0.10260999947786331,tensor(0.3073),tensor(0.2208),56640
17,0.09687503029902776,0.1017124131321907,tensor(0.3388),tensor(0.2597),56851
18,0.09697305063406626,0.10090340673923492,tensor(0.3648),tensor(0.2814),56778
19,0.09724693596363068,0.10075481981039047,tensor(0.3388),tensor(0.2554),56900
20,0.09561274945735931,0.09950678795576096,tensor(0.3605),tensor(0.2771),56841
21,0.09618478467067083,0.09829748794436455,tensor(0.3811),tensor(0.3117),56428
22,0.09598249644041061,0.09919769689440727,tensor(0.3768),tensor(0.3030),56778
23,0.0952645113070806,0.09921565279364586,tensor(0.3779),tensor(0.2987),56605
24,0.095169231792291,0.09926904737949371,tensor(0.3898),tensor(0.3117),57077
25,0.0944768249988556,0.10146433487534523,tensor(0.3659),tensor(0.2727),57530
26,0.09367063095172247,0.09960491396486759,tensor(0.3702),tensor(0.2771),56605
27,0.09308079977830251,0.1003462765365839,tensor(0.3572),tensor(0.2727),57077
28,0.09344518631696701,0.10123965330421925,tensor(0.3822),tensor(0.2554),56900
29,0.09295860230922699,0.0979689434170723,tensor(0.4126),tensor(0.3074),56837
30,0.09199540913105012,0.09794977121055126,tensor(0.3931),tensor(0.3203),56778
31,0.09334922730922698,0.09923968091607094,tensor(0.3931),tensor(0.3420),57077
32,0.09085871328910192,0.10079088807106018,tensor(0.3735),tensor(0.2900),56487
33,0.09274703760941823,0.1008665431290865,tensor(0.3388),tensor(0.2641),57300
34,0.09297204365332921,0.10002424195408821,tensor(0.3518),tensor(0.2987),56833
35,0.09263799091180165,0.09804341197013855,tensor(0.4061),tensor(0.3203),56605
36,0.09133650809526443,0.10096467658877373,tensor(0.3898),tensor(0.2727),56900
37,0.09086569249629975,0.1049672570079565,tensor(0.3094),tensor(0.2468),56546
38,0.09197749147812526,0.09959403239190578,tensor(0.3529),tensor(0.3203),56841
39,0.09141843815644582,0.09662515670061111,tensor(0.4332),tensor(0.3203),56896
40,0.09046287735303243,0.09723454900085926,tensor(0.4115),tensor(0.3333),56900
41,0.09061068197091421,0.10305686295032501,tensor(0.3768),tensor(0.2987),57378
42,0.0904153823852539,0.10317214205861092,tensor(0.3909),tensor(0.2900),56900
43,0.0896871397892634,0.10042416863143444,tensor(0.3757),tensor(0.2987),56900
44,0.09075251817703248,0.1001728530973196,tensor(0.3909),tensor(0.3290),56959
45,0.08986971378326417,0.09855495393276215,tensor(0.4441),tensor(0.3117),57077
46,0.0890827496846517,0.10090078599750996,tensor(0.3811),tensor(0.2900),57254
47,0.08898385365804036,0.09571143426001072,tensor(0.4332),tensor(0.3203),56782
48,0.08959107299645742,0.1035738606005907,tensor(0.3681),tensor(0.2857),56782
49,0.08881720105806987,0.09918772615492344,tensor(0.4213),tensor(0.3290),57125
50,0.08876830935478211,0.09940966963768005,tensor(0.3844),tensor(0.3117),56653
51,0.08771384060382843,0.09563061222434044,tensor(0.4343),tensor(0.3420),56708
52,0.08676981975634893,0.09880728460848331,tensor(0.4148),tensor(0.3117),57007
53,0.08798519174257914,0.09882969409227371,tensor(0.4343),tensor(0.3247),58090
