epoch,train_loss,val_loss,train_acc,val_acc,memory
1,0.11094799737135569,0.10880354233086109,tensor(0.1661),tensor(0.1775),65690
2,0.10704237868388494,0.10626506619155407,tensor(0.2237),tensor(0.1688),57293
3,0.10511277665694554,0.1052654106169939,tensor(0.2193),tensor(0.1991),57053
4,0.10462553948163986,0.1045454666018486,tensor(0.2508),tensor(0.1861),56640
5,0.10382665495077768,0.10449101962149143,tensor(0.2682),tensor(0.2078),56772
6,0.10275740325450897,0.10331433638930321,tensor(0.2562),tensor(0.2121),56585
7,0.10207127879063288,0.10318809188902378,tensor(0.3246),tensor(0.2381),56939
8,0.10079184124867122,0.10253503173589706,tensor(0.3377),tensor(0.2554),56467
9,0.09946860869725545,0.10154812224209309,tensor(0.3322),tensor(0.2944),56959
10,0.09850323100884756,0.10036846250295639,tensor(0.3409),tensor(0.3030),56463
11,0.09771609902381898,0.10046889632940292,tensor(0.3681),tensor(0.2900),56762
12,0.09849446962277095,0.10178160481154919,tensor(0.3724),tensor(0.2641),56821
13,0.09680318137009938,0.09957965835928917,tensor(0.3540),tensor(0.2771),56408
14,0.0960173452893893,0.09938454627990723,tensor(0.3464),tensor(0.3074),56703
15,0.0954167182246844,0.09948413260281086,tensor(0.3507),tensor(0.2771),56640
16,0.09406453967094422,0.09773771464824677,tensor(0.3996),tensor(0.3247),56345
17,0.09335733155409495,0.09953297860920429,tensor(0.4007),tensor(0.3030),57146
18,0.09486398150523503,0.09920029900968075,tensor(0.3616),tensor(0.2987),56994
19,0.09338619957367579,0.09861409664154053,tensor(0.4017),tensor(0.3290),56526
20,0.09250990748405456,0.09816994331777096,tensor(0.4126),tensor(0.3117),56349
21,0.09311117778221766,0.09757828339934349,tensor(0.4180),tensor(0.3290),56349
22,0.09166888097922007,0.09721323475241661,tensor(0.4017),tensor(0.3030),57230
23,0.09176088819901149,0.09924176149070263,tensor(0.4159),tensor(0.3117),56408
24,0.09163467983404795,0.09788663312792778,tensor(0.4278),tensor(0.3074),56821
