epoch,train_loss,val_loss,train_acc,val_acc,memory
1,0.11616955151160559,0.10841900669038296,tensor(0.1270),tensor(0.1558),95081
2,0.10761366933584213,0.10654572397470474,tensor(0.2291),tensor(0.1818),62263
3,0.10585933923721313,0.10485240630805492,tensor(0.2313),tensor(0.2078),60179
4,0.10462940285603205,0.10394037328660488,tensor(0.2519),tensor(0.1905),59144
5,0.10362559656302134,0.10378459841012955,tensor(0.2747),tensor(0.2035),59236
6,0.10276181399822235,0.10287438705563545,tensor(0.2823),tensor(0.2078),58722
7,0.10183858424425125,0.10382427461445332,tensor(0.3214),tensor(0.2381),57164
8,0.10109689484039942,0.1028430163860321,tensor(0.3160),tensor(0.2424),59288
9,0.10029079516728719,0.10245371796190739,tensor(0.3062),tensor(0.2294),58895
10,0.09973018517096838,0.10191966034471989,tensor(0.3170),tensor(0.2511),57101
11,0.09907051771879197,0.1016609389334917,tensor(0.3257),tensor(0.2468),56279
12,0.09906717936197916,0.10167670249938965,tensor(0.3312),tensor(0.2814),55335
13,0.09807896266380946,0.10060756094753742,tensor(0.3453),tensor(0.2554),55866
14,0.09729286978642146,0.09996198303997517,tensor(0.3409),tensor(0.3160),56633
15,0.09666089564561844,0.1006004698574543,tensor(0.3496),tensor(0.2814),55449
16,0.0954290896654129,0.09945034235715866,tensor(0.3779),tensor(0.2944),57278
17,0.09504439880450567,0.09941969625651836,tensor(0.3681),tensor(0.2684),56899
18,0.09548725088437399,0.0992380827665329,tensor(0.3789),tensor(0.3030),55980
19,0.09474606265624365,0.09809904173016548,tensor(0.4050),tensor(0.2944),56456
20,0.0935957302649816,0.09820639342069626,tensor(0.4017),tensor(0.2987),56456
21,0.09384473214546839,0.09754571318626404,tensor(0.3974),tensor(0.3203),56043
22,0.09298422783613206,0.09772615693509579,tensor(0.3952),tensor(0.2944),56688
23,0.09308133174975713,0.09794198721647263,tensor(0.4104),tensor(0.3377),55630
24,0.09243600914875666,0.09774868190288544,tensor(0.4148),tensor(0.3203),55984
25,0.09205459803342819,0.09717796184122562,tensor(0.4354),tensor(0.3160),56555
26,0.0916472723086675,0.09655829146504402,tensor(0.4408),tensor(0.3247),55866
27,0.09105860988299051,0.09651447273790836,tensor(0.4343),tensor(0.3420),55571
28,0.09148957033952078,0.09670518338680267,tensor(0.4235),tensor(0.3333),55807
29,0.09073943595091502,0.09692124649882317,tensor(0.4278),tensor(0.3463),56039
30,0.09037789603074392,0.09622901678085327,tensor(0.4397),tensor(0.3377),55685
31,0.09020714511473973,0.09593414515256882,tensor(0.4256),tensor(0.3506),56043
32,0.08962896863619486,0.09699137881398201,tensor(0.4408),tensor(0.3463),55512
33,0.08959113359451294,0.0956086702644825,tensor(0.4495),tensor(0.3377),56384
34,0.08934138715267181,0.09606892988085747,tensor(0.4528),tensor(0.3593),55622
35,0.08926972399155299,0.09552607499063015,tensor(0.4463),tensor(0.3506),55807
36,0.08861380418141683,0.09562959149479866,tensor(0.4560),tensor(0.3247),55630
37,0.08790347476800282,0.09581678360700607,tensor(0.4658),tensor(0.3463),55925
38,0.08805044243733089,0.09552505798637867,tensor(0.4745),tensor(0.3636),55925
39,0.08847205092509587,0.09569406881928444,tensor(0.4691),tensor(0.3463),55626
40,0.0876828004916509,0.09657720476388931,tensor(0.4680),tensor(0.3290),55630
41,0.08688188095887502,0.09612034074962139,tensor(0.4767),tensor(0.3636),56580
42,0.08622744381427765,0.09630771912634373,tensor(0.4875),tensor(0.3680),55866
43,0.08535008231798807,0.09374777227640152,tensor(0.4853),tensor(0.3550),55748
44,0.08580278505881628,0.09576295129954815,tensor(0.4973),tensor(0.3593),55630
45,0.08586209664742152,0.09394557401537895,tensor(0.5060),tensor(0.3680),55630
46,0.08646132051944733,0.09671933017671108,tensor(0.4745),tensor(0.3506),55807
47,0.08534497569004694,0.09420627914369106,tensor(0.5136),tensor(0.3550),55807
48,0.08463250497976939,0.09469969011843204,tensor(0.4984),tensor(0.3680),55512
49,0.08511694620052973,0.0956422071903944,tensor(0.5071),tensor(0.3983),55689
50,0.08357716004053752,0.09508421085774899,tensor(0.4951),tensor(0.3593),55512
51,0.08381986469030381,0.09361319802701473,tensor(0.4929),tensor(0.3853),55567
52,0.08337726642688116,0.09573814459145069,tensor(0.5071),tensor(0.3506),55807
53,0.08367308080196381,0.09550716914236546,tensor(0.4995),tensor(0.3550),56831
54,0.0844481314222018,0.09530417807400227,tensor(0.5071),tensor(0.3463),55453
55,0.08252728283405304,0.09513916820287704,tensor(0.4962),tensor(0.3377),55453
56,0.083249731361866,0.09353578835725784,tensor(0.5103),tensor(0.3593),55512
57,0.083433398604393,0.09637443721294403,tensor(0.4908),tensor(0.3290),55748
58,0.08215643415848414,0.09438130632042885,tensor(0.5071),tensor(0.3636),55807
59,0.08171085665623347,0.09566755779087543,tensor(0.5223),tensor(0.3636),55748
60,0.0810675173997879,0.09447073191404343,tensor(0.5342),tensor(0.3463),55685
61,0.08170797874530157,0.09473006427288055,tensor(0.5277),tensor(0.3853),55571
62,0.08132653385400772,0.09464546665549278,tensor(0.5396),tensor(0.3593),55512
63,0.08069086124499639,0.09327598474919796,tensor(0.5299),tensor(0.3766),55453
64,0.0807668720682462,0.0943702757358551,tensor(0.5385),tensor(0.3680),55508
65,0.08013215412696202,0.09341921471059322,tensor(0.5309),tensor(0.3506),56960
66,0.07989310920238495,0.09438688680529594,tensor(0.5266),tensor(0.3550),55508
67,0.0807801494995753,0.09456207789480686,tensor(0.5440),tensor(0.3680),55512
68,0.08021548688411713,0.09609058871865273,tensor(0.5266),tensor(0.3506),55925
69,0.07912341256936391,0.09442372247576714,tensor(0.5429),tensor(0.3636),55748
70,0.07975760300954184,0.09446215257048607,tensor(0.5440),tensor(0.3810),56692
71,0.08006559560696284,0.09504633024334908,tensor(0.5429),tensor(0.3680),56102
72,0.07879076997439066,0.09494139812886715,tensor(0.5223),tensor(0.3680),56987
73,0.0790083239475886,0.09461764059960842,tensor(0.5179),tensor(0.3680),57872
74,0.07853007217248281,0.09444722160696983,tensor(0.5516),tensor(0.3766),57042
75,0.0784517561395963,0.09323468804359436,tensor(0.5277),tensor(0.3636),55807
76,0.0806562731663386,0.0959109477698803,tensor(0.5255),tensor(0.3810),55748
77,0.0793431282043457,0.09601214714348316,tensor(0.5407),tensor(0.3853),58223
78,0.07836017509301503,0.09398919902741909,tensor(0.5527),tensor(0.3810),55866
79,0.07828850497802099,0.09252586029469967,tensor(0.5429),tensor(0.3896),56865
