epoch,train_loss,val_loss,train_acc,val_acc,memory
1,0.11492251008749008,0.10955706052482128,tensor(0.1813),tensor(0.1472),95819
2,0.10795868237813314,0.10744532570242882,tensor(0.2096),tensor(0.1558),61260
3,0.10579975644747416,0.10578249208629131,tensor(0.2237),tensor(0.1775),59235
4,0.1048796330889066,0.10497829876840115,tensor(0.2400),tensor(0.2078),61268
5,0.10380252699057262,0.10429475083947182,tensor(0.2617),tensor(0.1861),59000
6,0.10248490273952485,0.10305482521653175,tensor(0.2693),tensor(0.2294),58427
7,0.10174661676088968,0.1038853619247675,tensor(0.2812),tensor(0.2165),57341
8,0.10103214879830678,0.10358820669353008,tensor(0.2986),tensor(0.2165),57046
9,0.10002777179082235,0.10259787179529667,tensor(0.3236),tensor(0.2381),57184
10,0.0993960549434026,0.101480258628726,tensor(0.3149),tensor(0.2684),56452
11,0.09912125219901403,0.1016465462744236,tensor(0.3192),tensor(0.2641),56279
12,0.0986890768011411,0.10166016034781933,tensor(0.3322),tensor(0.2554),56397
13,0.09794367949167887,0.10116940550506115,tensor(0.3409),tensor(0.2727),56338
14,0.09731600135564804,0.10031030513346195,tensor(0.3692),tensor(0.2987),55571
15,0.09614328096310297,0.10118164122104645,tensor(0.3605),tensor(0.2944),56511
16,0.09515112042427062,0.09994713589549065,tensor(0.3833),tensor(0.3030),56570
17,0.09439042011896769,0.10031659342348576,tensor(0.3800),tensor(0.3030),56368
18,0.09505449682474136,0.09894709475338459,tensor(0.3920),tensor(0.3247),55921
19,0.09349581400553385,0.09835342317819595,tensor(0.4061),tensor(0.3593),55866
20,0.09280816117922465,0.09847422502934933,tensor(0.4126),tensor(0.3247),56279
21,0.09307939410209656,0.09782299399375916,tensor(0.4245),tensor(0.3550),56161
22,0.092087455590566,0.09759985283017159,tensor(0.4093),tensor(0.3333),55803
23,0.09167613834142685,0.09778321534395218,tensor(0.4245),tensor(0.3593),55984
24,0.09151750008265178,0.09755259566009045,tensor(0.4213),tensor(0.3593),55866
25,0.090708988904953,0.09667920507490635,tensor(0.4365),tensor(0.3550),56378
26,0.09040515373150508,0.09608796797692776,tensor(0.4539),tensor(0.3636),55630
27,0.08979095915953318,0.09554098546504974,tensor(0.4528),tensor(0.3636),55630
28,0.08944819668928781,0.09612025879323483,tensor(0.4582),tensor(0.3896),55866
29,0.08868485788504282,0.09587598592042923,tensor(0.4582),tensor(0.3636),56157
30,0.08865030407905579,0.09549984708428383,tensor(0.4669),tensor(0.3766),55803
31,0.08853608022133509,0.09580731391906738,tensor(0.4604),tensor(0.3593),56220
32,0.08764200756947199,0.09726224839687347,tensor(0.4560),tensor(0.3506),55984
33,0.08781488686800003,0.09459328278899193,tensor(0.4539),tensor(0.3680),56266
34,0.08785884777704875,0.0947300586849451,tensor(0.4593),tensor(0.3593),56035
35,0.08832788070042928,0.09441807121038437,tensor(0.4853),tensor(0.3550),55689
36,0.08688411563634872,0.0955608431249857,tensor(0.4767),tensor(0.3680),56043
37,0.08658465842405955,0.09548680298030376,tensor(0.4712),tensor(0.3680),56220
