epoch,train_loss,val_loss,train_acc,val_acc,memory
1,0.10929138809442521,0.10973782651126385,0.13789359391965256,0.09090909090909091,58810
2,0.10929346829652786,0.10981589928269386,0.13572204125950055,0.08658008658008658,52834
3,0.10925085296233496,0.10967782512307167,0.14006514657980457,0.08658008658008658,52830
4,0.1092844342192014,0.10971262864768505,0.1454940282301846,0.09090909090909091,52830
5,0.10932017068068187,0.10979527048766613,0.1498371335504886,0.09090909090909091,52962
6,0.10932366400957108,0.10969177633523941,0.15309446254071662,0.09523809523809523,51322
7,0.10929200152556101,0.1097423080354929,0.15200868621064062,0.09523809523809523,50674
8,0.10930295636256536,0.10976066254079342,0.15418023887079263,0.09523809523809523,50746
9,0.10929069072008132,0.10978660546243191,0.15418023887079263,0.09523809523809523,51002
10,0.10929746876160304,0.10977540165185928,0.1487513572204126,0.09090909090909091,50742
11,0.1092720111211141,0.10964563302695751,0.1498371335504886,0.09090909090909091,50746
12,0.10922017991542816,0.10975785180926323,0.1498371335504886,0.09090909090909091,50746
13,0.10924232006072998,0.10972956381738186,0.1476655808903366,0.09090909090909091,50746
14,0.10928713331619898,0.10976574011147022,0.1487513572204126,0.09090909090909091,50746
15,0.10928826779127121,0.10965764708817005,0.1476655808903366,0.09090909090909091,50742
16,0.10923405985037486,0.10969329439103603,0.1487513572204126,0.09090909090909091,50742
17,0.10926360189914704,0.10980185493826866,0.1498371335504886,0.09090909090909091,51130
18,0.10929101208845775,0.10973352752625942,0.1476655808903366,0.09090909090909091,50742
19,0.10930370638767878,0.10972167178988457,0.1476655808903366,0.09523809523809523,50746
20,0.10923878302176794,0.10987075977027416,0.1465798045602606,0.09523809523809523,50746
21,0.10926935374736786,0.10973592102527618,0.1444082519001086,0.09523809523809523,50746
22,0.10924749821424484,0.10966342873871326,0.1444082519001086,0.09523809523809523,50742
23,0.1092597504456838,0.10975131206214428,0.14332247557003258,0.09523809523809523,50746
24,0.10924163609743118,0.10971381515264511,0.14332247557003258,0.09090909090909091,50746
